id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
69074,Beautiful oasis of plants & art @ best location,160139,Amy,,Central & Western,22.28351648615543,114.15017721985663,Entire home/apt,1410,4,115,2018-10-22,1.22,1,91
101765,Lamma Island flat 2min walk from the beach!,532909,Michael,,Islands,22.200223996029003,114.13460854409271,Entire home/apt,431,2,7,2018-11-11,0.95,1,98
103760,Central Centre 5 min walk to/from Central MTR,304876,Brend,,Central & Western,22.28407389614942,114.15569563226877,Entire home/apt,854,2,237,2018-10-20,2.63,12,319
132773,Fabulous 2 Bdrm Aprt Open kitchen ,304876,Brend,,Central & Western,22.28867884498249,114.14494426887485,Entire home/apt,1058,2,163,2018-10-24,1.83,12,318
133390,"Soho, Hong Kong 1 bedroom flat",654642,Robin,,Central & Western,22.283434706052102,114.15539201543848,Entire home/apt,940,2,27,2015-06-30,0.30,1,9
163664,Soho off Hollywood Road P4,304876,Brend,,Central & Western,22.286510725809475,114.14874342866396,Entire home/apt,697,2,184,2018-10-27,2.09,12,291
163742,Soho off Hollywood Road P3,304876,Brend,,Central & Western,22.286944337481117,114.14855130064541,Entire home/apt,776,2,192,2018-11-07,2.17,12,330
174574,"2 BR SEA VIEW, AIR & DISNEY ♥ LATE SELF CHK-IN OK",530880,Jennifer,,Islands,22.303881924388964,114.00887494506824,Entire home/apt,1582,1,99,2018-10-06,1.15,2,140
248140,Bright Studio - Soho - Central HK,1300549,Darren,,Central & Western,22.282905404035613,114.15136548845771,Entire home/apt,995,2,144,2018-09-30,1.68,1,173
251992,"BEST BALCONY In Sheung Wan, 2 BR",1321952,Timothy,,Central & Western,22.285357919330796,114.1500428814884,Entire home/apt,2342,1,25,2018-10-09,0.29,2,78
262212,Wan Chai MTR Open Studio: 1-4 Guests 460SF,1375696,C S,,Wan Chai,22.276260135459502,114.17292694108141,Entire home/apt,1316,1,70,2018-10-30,0.83,18,170
263081,"3BR, 2 Helpers, Family Friendly!",1370155,Chuster,,Central & Western,22.277566220916423,114.1520502386495,Private room,4309,10,0,,,1,0
274589,"8 mins HKCEC, 5 mins MTR Wan Chai, nr Causeway Bay",1435069,Shanshan,,Wan Chai,22.279399884482324,114.17117922634515,Entire home/apt,1081,2,209,2018-11-03,2.48,1,285
277437,Flat near HKU/IFC/Lan Kwai Fong,1443229,Alice,,Central & Western,22.283593390690164,114.13138050818075,Entire home/apt,901,2,40,2018-10-31,0.47,6,316
278277,FANTASTIC (HK) in the heart of HK ,1452499,Sally,,Wan Chai,22.279376716931864,114.17368112272703,Entire home/apt,1551,3,203,2018-11-04,2.41,7,245
280746,Beautiful 3 bedroom designer Apt,1443229,Alice,,Yuen Long,22.46662457800921,113.98315629426554,Entire home/apt,940,4,32,2018-10-20,0.40,6,330
282506,Modern 1 B/R Apt Causeway Bay,1443229,Alice,,Eastern,22.28382203808877,114.19262382232866,Entire home/apt,1018,2,70,2018-10-02,0.83,6,316
284141,"Big, quiet apt above Hollywood Rd",1469210,Abheek,,Central & Western,22.2831708432829,114.15028474440072,Entire home/apt,627,2,22,2016-06-20,0.26,1,0
290161,Amazing Location -  Designer Flat,1505903,Sara,,Central & Western,22.281136325631774,114.15306040851496,Entire home/apt,783,1,47,2015-09-21,0.79,1,0
306515,"HongKong,Central Bright Double Room",1576511,Frederic,,Central & Western,22.282223199573075,114.15447639789869,Entire home/apt,1058,30,20,2015-08-14,0.24,1,0
320446,SUITE 2: Next2 SouthPacificHotel,1375696,C S,,Wan Chai,22.27598989041941,114.17976489612018,Private room,1003,1,15,2015-11-14,0.19,18,113
320447,3BedR + 3BathR (3-10 Guests) 600SF,1375696,C S,,Wan Chai,22.277106596351448,114.1777150347783,Entire home/apt,2256,1,93,2018-10-24,1.16,18,158
327095,"3Brs(HB) in the heart of HK,WanChai",1529119,Eric,,Wan Chai,22.279085737714922,114.17204755812242,Entire home/apt,1159,3,213,2018-10-24,3.10,2,196
354442,5500 sq ft family home in Hong Kong,1794577,Simon,,Southern,22.267905871473594,114.12553903607207,Entire home/apt,2499,5,2,2018-06-26,0.12,1,0
389017,Causeway Bay Tai Hang Quiet & Light,1946293,Su,,Wan Chai,22.278138104111637,114.1922752866901,Private room,486,2,40,2018-04-08,0.49,2,135
393112,2BRs & 5mins MTR night mkt in YMT,1966274,Egg,,Yau Tsim Mong,22.306727093749057,114.16853152183138,Entire home/apt,854,1,220,2018-10-19,2.75,11,303
393502,3BR Next 2 Times Square 440SF,1375696,C S,,Wan Chai,22.278137530402198,114.18102013452263,Entire home/apt,1786,1,34,2018-07-07,0.42,18,40
405722,Soho/ Mid-levels Apt For Rental ,2022316,Tereza,,Central & Western,22.281603331028645,114.15042420905745,Entire home/apt,1018,1,0,,,1,0
