id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
68396,Zhongxiao Dunhua Studio C near MRT,339014,Lisa,,大安區,25.042579729719883,121.55364735398231,Entire home/apt,1544,7,2,2018-06-20,0.03,13,296
68398,Tonghua Vacation Studio C,339014,Lisa,,大安區,25.029252860369635,121.55560906545534,Entire home/apt,926,30,6,2016-12-04,0.08,13,313
74641,黑白雙人房@南京復興站｡小巨蛋斜對面｡溫泉式浴缸｡,393116,Yi-Wan,,松山區,25.051586771863008,121.54747290451549,Private room,1544,2,43,2018-11-19,0.50,4,44
74643,小巨蛋｡南京復興站溫馨套房,393116,Yi-Wan,,松山區,25.05067399631369,121.54568336995456,Private room,1297,2,45,2018-10-21,0.48,4,71
178036,單人床位 Single bunk bed [mixed dorm for 4pax],851825,TaipeiTaipei Hostel,,中正區,25.044876561982644,121.5130474960245,Shared room,401,1,51,2018-10-28,0.57,8,341
237684,Family Presidential Loft,339014,Lisa,,大安區,25.027937732634378,121.54780713477564,Entire home/apt,4013,7,2,2015-01-08,0.04,13,336
266837,"3B2b - 3 Min to MRT, 101 & Night Market Flair",1398361,Roger,,大安區,25.03106259633463,121.5540802611592,Entire home/apt,3242,1,100,2018-11-08,1.17,11,55
268604,Flowery Garden One Bedroom,339014,Lisa,,信義區,25.024818016316544,121.55411769055303,Entire home/apt,1544,30,0,,,13,276
271733,Taipei Rooftop - Whole apartment!,242033,Robyn And David,,文山區,25.003841076128182,121.55572581952055,Entire home/apt,1297,4,51,2018-10-21,0.61,1,61
289296,Fabulous studio - Center Taipei,1338052,Herman,,大安區,25.043351730261502,121.55006859988497,Entire home/apt,2562,28,22,2018-11-15,0.45,2,365
289298,Fabulous Studio in heart of Taipei,1338052,Herman,,中山區,25.08006947898509,121.55908068285575,Entire home/apt,1729,1,128,2018-11-12,1.89,2,330
333362,"2min walk to MRT, Quiet good sleep",1698423,Jojo,,中山區,25.079206716939805,121.5512801776511,Entire home/apt,1327,365,79,2015-08-26,0.96,1,365
