"","Date","Max.TemperatureF","Mean.TemperatureF","Min.TemperatureF","Max.Dew.PointF","MeanDew.PointF","Min.DewpointF","Max.Humidity","Mean.Humidity","Min.Humidity","Max.Sea.Level.PressureIn","Mean.Sea.Level.PressureIn","Min.Sea.Level.PressureIn","Max.VisibilityMiles","Mean.VisibilityMiles","Min.VisibilityMiles","Max.Wind.SpeedMPH","Mean.Wind.SpeedMPH","Max.Gust.SpeedMPH","PrecipitationIn","CloudCover","Events","WindDirDegrees.br...","city","season"
"1",1996-07-01,"86","80","73","72","68","66","88","67","51","29.74","29.66","29.62","6","5","4","13","7","","0.00","4","","94<br />","Tokyo (JPN)","Summer"
"2",1996-07-02,"87","78","69","70","67","63","88","70","48","29.89","29.81","29.74","6","4","2","16","7","","0.00","2","","140<br />","Tokyo (JPN)","Summer"
"3",1996-07-03,"87","78","68","72","68","63","94","75","45","29.89","29.81","29.68","6","4","1","28","8","22","0.00","3","Fog-Rain","112<br />","Tokyo (JPN)","Summer"
"4",1996-07-04,"84","76","68","68","64","63","83","69","48","29.80","29.78","29.74","6","6","4","17","9","","0.00","3","","81<br />","Tokyo (JPN)","Summer"
"5",1996-07-05,"78","74","69","75","71","63","100","87","69","29.80","29.62","29.44","6","5","1","31","13","45","0.00","6","Rain","184<br />","Tokyo (JPN)","Summer"
"6",1996-07-06,"87","79","71","72","67","61","94","69","43","29.77","29.56","29.42","6","6","6","22","10","","0.00","2","","188<br />","Tokyo (JPN)","Summer"
"7",1996-07-07,"73","68","62","66","62","59","94","81","61","29.98","29.89","29.77","6","6","4","17","14","","0.00","6","Rain","33<br />","Tokyo (JPN)","Summer"
"8",1996-07-08,"68","65","62","64","62","59","94","90","78","30.01","29.96","29.92","6","5","2","18","13","","0.00","6","Rain","32<br />","Tokyo (JPN)","Summer"
"9",1996-07-09,"68","66","64","66","64","61","100","94","88","29.95","29.88","29.83","6","3","2","15","9","","0.00","6","Rain","15<br />","Tokyo (JPN)","Summer"
"10",1996-07-10,"71","68","66","70","67","64","100","94","88","29.80","29.64","29.47","4","2","1","22","14","33","0.00","6","Rain","357<br />","Tokyo (JPN)","Summer"
"11",1996-07-11,"89","79","69","70","64","57","83","58","40","29.65","29.48","29.36","6","6","6","29","16","43","0.00","3","Rain","291<br />","Tokyo (JPN)","Summer"
"12",1996-07-12,"86","80","73","70","63","57","83","59","47","29.83","29.73","29.65","6","6","4","14","10","","0.00","1","","82<br />","Tokyo (JPN)","Summer"
"13",1996-07-13,"86","78","69","72","69","66","94","76","51","29.95","29.89","29.83","6","5","1","12","8","","0.00","2","","97<br />","Tokyo (JPN)","Summer"
"14",1996-07-14,"89","80","71","73","71","66","100","77","46","29.95","29.92","29.86","6","3","0","15","6","","0.00","2","Fog","113<br />","Tokyo (JPN)","Summer"
"15",1996-07-15,"87","82","77","77","74","70","89","78","66","29.92","29.84","29.77","6","3","1","18","8","","0.00","3","Rain-Thunderstorm","179<br />","Tokyo (JPN)","Summer"
"16",1996-07-16,"89","83","77","75","73","70","89","74","59","29.89","29.84","29.77","6","4","2","22","11","","0.00","4","","182<br />","Tokyo (JPN)","Summer"
"17",1996-07-17,"91","86","78","75","72","70","83","67","55","29.86","29.81","29.77","6","6","6","23","16","","0.00","1","","202<br />","Tokyo (JPN)","Summer"
"18",1996-07-18,"91","84","77","75","74","73","89","72","55","29.86","29.80","29.74","6","5","4","18","8","","0.00","1","","160<br />","Tokyo (JPN)","Summer"
"19",1996-07-19,"91","84","77","77","74","72","89","76","59","29.83","29.77","29.71","6","4","2","17","8","","0.00","2","","106<br />","Tokyo (JPN)","Summer"
"20",1996-07-20,"86","80","75","77","74","72","94","81","70","29.80","29.76","29.71","6","3","2","15","9","","0.00","5","Rain","77<br />","Tokyo (JPN)","Summer"
"21",1996-07-21,"78","76","73","73","73","70","100","93","83","29.83","29.76","29.71","6","3","1","20","14","","0.00","6","Rain","35<br />","Tokyo (JPN)","Summer"
"22",1996-07-22,"82","76","71","72","69","64","94","82","66","29.89","29.84","29.80","6","4","2","16","9","","0.00","6","Rain","73<br />","Tokyo (JPN)","Summer"
"23",1996-07-23,"73","72","71","72","70","68","100","93","83","29.83","29.78","29.74","6","3","1","13","9","","0.12","7","Rain","71<br />","Tokyo (JPN)","Summer"
"24",1996-07-24,"84","78","71","73","72","70","100","84","70","29.89","29.83","29.77","6","4","1","13","7","","0.00","5","","104<br />","Tokyo (JPN)","Summer"
"25",1996-07-25,"87","82","77","75","73","72","89","76","58","29.95","29.90","29.86","6","6","5","20","10","","0.00","3","","181<br />","Tokyo (JPN)","Summer"
"26",1996-07-26,"87","81","75","77","75","72","89","80","66","29.95","29.92","29.89","6","5","3","20","11","","0.00","3","","191<br />","Tokyo (JPN)","Summer"
"27",1996-07-27,"89","84","78","77","73","70","79","70","59","29.95","29.90","29.86","6","6","6","24","15","","0.00","1","","195<br />","Tokyo (JPN)","Summer"
"28",1996-07-28,"91","86","80","75","73","36","84","72","17","29.92","29.89","29.86","6","6","6","21","11","","0.00","1","","194<br />","Tokyo (JPN)","Summer"
"29",1996-07-29,"89","84","78","77","75","73","89","74","62","29.89","29.87","29.83","6","6","6","21","10","","0.00","2","","195<br />","Tokyo (JPN)","Summer"
"30",1996-07-30,"87","84","80","75","74","72","84","74","62","29.89","29.87","29.86","6","6","6","22","11","","0.00","3","","197<br />","Tokyo (JPN)","Summer"
"31",1996-07-31,"89","84","78","75","74","70","89","72","52","29.95","29.91","29.86","6","6","6","23","14","","0.00","3","","185<br />","Tokyo (JPN)","Summer"
"32",1996-08-01,"89","84","78","75","74","70","83","71","55","29.95","29.93","29.89","6","6","6","20","11","","0.00","2","","191<br />","Tokyo (JPN)","Summer"
"33",1996-08-02,"87","80","73","77","73","70","89","77","62","30.01","29.93","29.89","6","5","3","20","9","","0.00","2","","81<br />","Tokyo (JPN)","Summer"
"34",1996-08-03,"78","74","69","73","70","68","94","87","78","30.01","29.97","29.92","4","3","2","13","9","","0.00","7","Rain","79<br />","Tokyo (JPN)","Summer"
"35",1996-08-04,"89","82","75","77","75","73","94","83","66","29.92","29.76","29.65","6","4","2","61","6","","0.00","5","","170<br />","Tokyo (JPN)","Summer"
"36",1996-08-05,"93","84","75","79","72","64","94","72","52","29.80","29.68","29.62","6","5","2","22","7","","0.00","3","Rain","98<br />","Tokyo (JPN)","Summer"
"37",1996-08-06,"82","76","71","70","66","63","88","73","51","29.86","29.81","29.77","6","6","6","15","11","","0.00","4","","65<br />","Tokyo (JPN)","Summer"
"38",1996-08-07,"84","76","69","68","65","63","88","71","51","29.89","29.84","29.80","6","6","6","17","11","","0.00","3","","53<br />","Tokyo (JPN)","Summer"
"39",1996-08-08,"78","74","69","68","65","63","88","72","61","29.89","29.84","29.80","6","6","6","15","12","","0.00","3","Rain","34<br />","Tokyo (JPN)","Summer"
"40",1996-08-09,"86","78","69","72","69","66","89","75","51","29.83","29.80","29.74","6","6","5","14","9","","0.00","3","","74<br />","Tokyo (JPN)","Summer"
"41",1996-08-10,"87","80","73","72","70","68","88","74","52","29.89","29.84","29.80","6","6","4","21","11","","0.00","4","","56<br />","Tokyo (JPN)","Summer"
"42",1996-08-11,"86","80","75","72","70","68","89","72","55","29.89","29.86","29.83","6","6","6","20","14","","0.00","4","Rain","50<br />","Tokyo (JPN)","Summer"
"43",1996-08-12,"86","80","73","75","73","70","94","83","66","29.86","29.82","29.77","6","6","3","16","10","","0.00","4","Rain","55<br />","Tokyo (JPN)","Summer"
"44",1996-08-13,"89","82","75","77","75","73","94","84","59","29.82","29.77","29.74","6","5","3","21","9","","0.00","4","Rain","148<br />","Tokyo (JPN)","Summer"
"45",1996-08-14,"91","84","77","79","76","73","89","75","59","29.71","29.68","29.56","6","6","5","29","15","38","0.00","4","Rain","210<br />","Tokyo (JPN)","Summer"
"46",1996-08-15,"98","89","80","77","75","72","89","64","44","29.53","29.41","29.33","6","6","4","43","26","59","0.00","4","Rain","205<br />","Tokyo (JPN)","Summer"
"47",1996-08-16,"96","88","78","75","69","64","89","55","36","29.77","29.66","29.56","6","6","6","16","8","","0.00","4","Rain","178<br />","Tokyo (JPN)","Summer"
"48",1996-08-17,"89","84","78","75","71","64","89","72","48","29.89","29.84","29.77","6","6","5","15","9","","0.00","5","","75<br />","Tokyo (JPN)","Summer"
"49",1996-08-18,"89","83","77","75","73","68","94","76","52","29.92","29.88","29.83","6","6","2","15","8","","0.00","3","Rain","141<br />","Tokyo (JPN)","Summer"
"50",1996-08-19,"91","83","75","75","70","63","94","68","41","29.95","29.91","29.86","6","6","6","16","8","","0.00","3","","130<br />","Tokyo (JPN)","Summer"
"51",1996-08-20,"84","78","73","72","68","64","89","72","51","29.98","29.94","29.89","6","6","6","16","11","","0.00","5","","69<br />","Tokyo (JPN)","Summer"
"52",1996-08-21,"87","79","71","72","68","64","88","73","46","29.95","29.92","29.86","6","6","5","16","9","","0.00","2","","112<br />","Tokyo (JPN)","Summer"
"53",1996-08-22,"87","81","75","73","72","68","89","75","55","29.92","29.88","29.80","6","6","4","17","8","","0.00","3","","177<br />","Tokyo (JPN)","Summer"
"54",1996-08-23,"87","82","77","77","74","72","89","76","62","29.83","29.72","29.65","6","6","6","23","15","","0.00","1","","183<br />","Tokyo (JPN)","Summer"
"55",1996-08-24,"82","76","71","75","71","64","94","81","73","29.86","29.74","29.65","6","5","2","20","10","","0.00","5","Rain","28<br />","Tokyo (JPN)","Summer"
"56",1996-08-25,"80","74","69","64","60","54","78","64","48","29.98","29.92","29.86","6","6","6","21","15","","0.00","4","","53<br />","Tokyo (JPN)","Summer"
"57",1996-08-26,"78","73","68","63","60","57","78","64","51","30.01","29.98","29.95","6","6","6","16","10","","0.00","6","","54<br />","Tokyo (JPN)","Summer"
"58",1996-08-27,"78","73","68","63","62","59","83","70","54","29.98","29.92","29.89","6","6","6","15","9","","0.00","6","Rain","53<br />","Tokyo (JPN)","Summer"
"59",1996-08-28,"71","68","64","66","64","63","94","84","73","29.86","29.80","29.77","6","4","2","12","9","","0.00","6","Rain","7<br />","Tokyo (JPN)","Summer"
"60",1996-08-29,"73","68","64","70","66","64","100","89","83","29.83","29.74","29.71","4","2","1","14","8","","0.00","6","Rain","21<br />","Tokyo (JPN)","Summer"
"61",1996-08-30,"78","74","71","72","70","68","94","86","74","29.98","29.90","29.83","6","4","2","13","8","","0.00","6","Rain","55<br />","Tokyo (JPN)","Summer"
"62",1996-08-31,"78","74","69","72","69","68","94","87","78","29.98","29.94","29.89","6","4","2","14","9","","0.00","7","Rain","42<br />","Tokyo (JPN)","Summer"
"63",1996-09-01,"84","78","71","77","73","70","94","87","74","29.89","29.74","29.62","6","4","2","17","9","21","0.00","5","Rain","23<br />","Tokyo (JPN)","Summer"
"64",1996-09-02,"89","82","75","75","71","36","94","76","16","29.71","29.58","29.53","6","6","3","16","8","","0.00","5","Rain-Thunderstorm","307<br />","Tokyo (JPN)","Summer"
"65",1996-09-03,"84","78","71","73","65","59","94","68","45","29.89","29.79","29.71","6","6","6","14","9","","0.00","3","","90<br />","Tokyo (JPN)","Summer"
"66",1996-09-04,"82","76","69","68","65","61","88","70","51","29.95","29.91","29.89","6","6","6","15","7","","0.00","4","Rain","97<br />","Tokyo (JPN)","Summer"
"67",1996-09-05,"84","78","73","70","66","61","83","66","45","29.92","29.87","29.83","6","6","6","12","8","","0.00","3","Rain","117<br />","Tokyo (JPN)","Summer"
"68",1996-09-06,"86","80","73","72","70","64","94","75","48","29.86","29.83","29.80","6","6","3","17","6","","0.00","2","","95<br />","Tokyo (JPN)","Summer"
"69",1996-09-07,"78","74","69","72","68","64","83","79","69","30.01","29.86","29.77","6","5","2","15","9","","0.00","5","Rain","47<br />","Tokyo (JPN)","Summer"
"70",1996-09-08,"80","74","68","64","61","55","83","66","44","30.12","30.07","30.04","6","6","6","15","8","","0.00","3","","81<br />","Tokyo (JPN)","Summer"
"71",1996-09-09,"73","68","64","68","64","63","94","85","73","30.06","29.92","29.83","6","4","1","16","10","","0.00","6","Rain","25<br />","Tokyo (JPN)","Summer"
"72",1996-09-10,"77","72","66","66","64","61","88","80","65","29.86","29.78","29.74","6","5","2","15","10","","0.00","5","Rain","31<br />","Tokyo (JPN)","Summer"
"73",1996-09-11,"80","74","68","64","62","55","83","68","42","30.01","29.93","29.86","6","6","6","68","10","","0.00","2","Rain","67<br />","Tokyo (JPN)","Summer"
"74",1996-09-12,"80","74","68","64","61","54","88","69","44","30.04","30.00","29.95","6","6","3","16","8","","0.00","1","","60<br />","Tokyo (JPN)","Summer"
"75",1996-09-13,"77","73","69","64","62","59","83","71","54","30.01","29.97","29.92","6","6","5","15","9","","0.00","5","Rain","32<br />","Tokyo (JPN)","Summer"
"76",1996-09-14,"68","64","60","66","62","57","94","89","73","29.89","29.80","29.74","6","3","2","23","18","34","0.00","7","Rain","345<br />","Tokyo (JPN)","Summer"
"77",1996-09-15,"78","73","68","64","62","61","88","73","61","30.01","29.92","29.83","6","6","6","18","13","","0.00","4","","26<br />","Tokyo (JPN)","Summer"
"78",1996-09-16,"78","73","68","64","62","59","83","70","51","30.01","29.98","29.92","6","6","6","16","8","","0.00","2","","66<br />","Tokyo (JPN)","Summer"
"79",1996-09-17,"78","72","66","64","62","59","83","73","54","29.98","29.89","29.83","6","6","6","14","8","","0.00","5","Rain","76<br />","Tokyo (JPN)","Summer"
"80",1996-09-18,"78","73","68","66","63","61","88","73","54","29.83","29.79","29.74","6","5","3","16","7","","0.00","2","","50<br />","Tokyo (JPN)","Summer"
"81",1996-09-19,"80","74","68","66","64","61","83","70","54","29.83","29.78","29.74","6","6","6","15","9","","0.00","1","","48<br />","Tokyo (JPN)","Summer"
